Title,Description,Tags,Notes,Categories,Link
Academic Search Premier,"Some full-text articles, Date range: Varies; Full text: 1990&ndash;present; abstracts: 1965&ndash;present, Updated daily. Time covered varies by title, many go back to 1990. Very broad coverage, includes topics of interest to business researchers. Index and abstracts for over 7000 general, humanities, social science and science journals. Over 3100 journals are peer reviewed.","ethics, biography",,,"http://proxy-um.researchport.umd.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=aph"
"Africa Development Indicators, World Bank","Detailed collection of data on Africa&mdash;includes social, economic, natural resources, infrastructure, governance and environmental indicators.","statistics: international, international business",,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://data.worldbank.org/data-catalog/africa-development-indicators
AgEcon Search,Archive of full text articles in agricultural and applied economics. Note: Most of these journals are also in Econlit.,"agricultural economics, economics",,ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://ageconsearch.umn.edu/
American FactFinder,"From the U.S. Census Bureau. Provides U.S. population, housing, economic and geographic data.","business planning, consumer analysis, population and housing data",,,http://factfinder2.census.gov/faces/nav/jsf/pages/index.xhtml
American Institute for Philanthropy,"A ""nonprofit charity watchdog"" that ""provides donors with information to make more informed giving decisions"".",nonprofits,,,http://www.charitywatch.org/toprated.html
Annual Review of Economics,Authoritative critical reviews evaluate the most significant research developments.,economics,,ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://arjournals.annualreviews.org/loi/economics
Annual Review of Resource Economics,"Provides authoritative critical reviews evaluating the most significant research developments in the field, focusing on agricultural economics, environmental economics, renewable resources, exhaustible resources, and economic development.","agricultural economics, environmental economics, economics",,ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://arjournals.annualreviews.org/loi/resource
Ashoka,Global association of the worlds leading social entrepreneurs.,social entrepreneurship,,ENTREPRENEURSHIP,http://www.ashoka.org/home/index.cfm
Background Notes,"From the U.S. Department of State facts about the land, people, history, government, political conditions, economy, etc.",country background,,COUNTRY RESEARCH,http://www.state.gov/r/pa/ei/bgn/
Balance of Payments Statistics &ndash; IMF eLibrary &ndash; Data,"Licensing restrictions limit use to 2-5 simultaneous users. If you are unable to access this database, please try again later. Summarizes, for a specific period, the economic transactions of an economy with the rest of the world.","economics, statistics",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://elibrary-data.imf.org
Baseline Scenario.com,"Authoritative news blog ""dedicated to explaining some of the key issues in the global economy ...""","news, economics, global issues",,,http://baselinescenario.com/
Big Charts,"Provides access to interactive charts, quotes, industry analysis and intraday stock screeners, market news and commentary.","statistics: united states, investment & securities, stocks",,FINANCE AND INVESTMENT;DEMOGRAPHICS AND STATISTICS,http://bigcharts.marketwatch.com/
Biography and Genealogy Master Index,"BGMI indexes current, readily available reference sources, as well as the most important retrospective works that cover individuals from every field of activity and from all areas of the world.",biography,,,http://proxy-um.researchport.umd.edu/login?url=http://galenet.galegroup.com/servlet/BGMI/form?l=1&u=BGMI&s=1&locID=umd_um&o=DocTitle
Bloomberg (via the Bloomberg terminals in 1318 Van Munching Hall),"Contains current and historical financial data on individual companies, stock market indices, fixed-income securities, currencies, commodities, and futures for both international and domestic markets.","accounting, annual reports, bonds, dow jones industrial average, economic indicators, financial information, investment & securities, mergers & acquisitions, ownership status, S&P 500, stocks, stock exchange, stock trades & quotes, business public policy",,COUNTRY RESEARCH;ECONOMICS;FINANCE AND INVESTMENT;INDUSTRY,
BPlans.Com,"Free site from Palo Alto Software, Inc. Use this web site to locate business plans or marketing plans for specific business sectors.","business plans, marketing plans",,MARKETING,http://www.bplans.com/
Brookings Institution &ndash; Globalization Page,"Links to current papers and articles on globalization from the Brookings Institution &mdash; a ""non-profit public policy organization"" based in Washington, D.C.","globalization, country",,COUNTRY RESEARCH,http://www.brookings.edu/topics/globalization.aspx
Bureau of Labor Statistics,"U.S. Department of Labor. Provides economic indicators, labor statistics, and other measures of economic and social performance.","economic indicators, labor economics",,ECONOMICS,http://www.bls.gov/
Business Source Complete,"Comprehensive database of business - Sources include over 3600 peer reviewed journals, trade publications/ magazines, books, case studies, company profiles, SWOT analysis etc.","advertising, auditing, benefits & compensation, biographical information, bonds, brands, business plans, case study, case studies, company profiles, competitors, corporate culture, decision theory, employment, ethics, globalization, human resource management, industry overview & trends, international trade, leadership, management, mergers & acquisitions, nonprofits, operations management, organization theory, planning & strategies, product development, promotion, public relations, quality control, research & development, social entrepreneurship, SWOT, taxation,  trade publications/business magazines","To access Company Profiles, click on link from the ""More"" option menu top of screen (in the blue band) to search for company profiles by company name.",,http://proxy-um.researchport.umd.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&group=main&profile=ehost&defaultdb=bth
Catalog of Nonprofit Literature,From the Foundation Center. A searchable database of the literature of philanthropy.,nonprofits,,,http://lnps.fdncenter.org/
CeBIT,"Important trade show web site, provides latest industry trends and innovations in information technology, telecommunications & networks, etc.","technology, product development",,PRODUCT,http://www.cebit.de/homepage_e?channel=1
